"Y";"media";"radio";"Y1";"Y2";"Y109";"Y181";"Y289"
"1";32.4420622229;32.0291597172412;1.96795047654581;87.7375395708;79.0345541686;19.6540674175;19.8149670364;79.8584201233
"2";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"3";32.4420622229;32.0291597172412;1.96795047654581;87.7375395708;79.0345541686;19.6540674175;19.8149670364;79.8584201233
"4";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"5";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"6";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"7";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"8";32.4420622229;32.0291597172412;1.96795047654581;87.7375395708;79.0345541686;19.6540674175;19.8149670364;79.8584201233
"9";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"10";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"11";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"12";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"13";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"14";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"15";32.4420622229;32.0291597172412;1.96795047654581;87.7375395708;79.0345541686;19.6540674175;19.8149670364;79.8584201233
"16";32.4420622229;32.0291597172412;1.96795047654581;87.7375395708;79.0345541686;19.6540674175;19.8149670364;79.8584201233
"17";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"18";32.4420622229;32.0291597172412;1.96795047654581;87.7375395708;79.0345541686;19.6540674175;19.8149670364;79.8584201233
"19";32.4420622229;32.0291597172412;1.96795047654581;87.7375395708;79.0345541686;19.6540674175;19.8149670364;79.8584201233
"20";29.9848959072;31.7221759102164;1.58451177649414;85.9380809371;72.9989205129;21.0043581218;20.7401807028;87.7375395708
"21";32.4420622229;32.0291597172412;1.96795047654581;87.7375395708;79.0345541686;19.6540674175;19.8149670364;79.8584201233
